case_id	filename
0078b0c4-68a9-483b-9aab-61156d263213	419b4c0a-c23f-4214-8de0-722d2ae0846b.FPKM.txt.gz
0389b35b-651b-4776-b12a-d315a100f47c	3d4081b3-24c9-4dbd-a5fe-0fb29ce43737.FPKM.txt.gz
0456a66b-c9b3-4eb1-9872-424a7ea712a2	de55dea1-658a-4a84-ae5c-fc554e9c4213.FPKM.txt.gz
1030a6b9-0df8-4d60-b69f-2a36e630a6ad	bd4b6975-90d9-43f8-aadc-344d04644822.FPKM.txt.gz
149be735-d5db-43b6-80b7-d40e3a84500b	f2d5627a-f891-453b-8bdb-38d732c59342.FPKM.txt.gz
153c2442-ea61-4b5e-8c5c-c71d287c6055	2a254376-7498-4c41-8c20-8b4bdd8369da.FPKM.txt.gz
159e0318-6173-440f-be07-8d956086e99d	378f6079-6c4e-415b-8b5e-6c3c72e513b3.FPKM.txt.gz
15e058e8-2f33-4fb4-92af-3d9dea1fa906	c341aa36-a431-477a-9fae-4550c4eea047.FPKM.txt.gz
1b25795e-69ad-47fd-bb2f-94ff0910fae1	0f12d09f-f512-4a6a-95e2-c8942488f2ff.FPKM.txt.gz
1e80ccf6-ef81-4662-bf5e-392f092c1e67	21a4485e-a6e0-4129-8148-3d092ebbdd90.FPKM.txt.gz
1f48f010-98fe-4b5a-b96a-14fb25eff23f	21f38c14-7d7c-4156-8c85-88be68cae18d.FPKM.txt.gz
20bad0d5-3135-49a4-a119-fa7a1e56fd1b	600932fb-d31e-4b69-afe7-e3803513d71f.FPKM.txt.gz
2188c194-dfe4-4471-9b8b-050db1a1062c	7376f374-1439-405e-87d3-c45cfac92ed5.FPKM.txt.gz
224235c1-5b6e-48d5-a5d1-777dfede0f1e	ceb8fbdf-dd36-4273-b17c-0ee2eca493c5.FPKM.txt.gz
22e0c3ea-9f6d-4d73-9282-17ee4553f436	b004e38d-f48c-49f9-a027-4a702fbaf107.FPKM.txt.gz
25f41de3-9d70-45df-913f-4fb3e5f0f7d6	8a395eef-a9cc-4f21-b8d2-aefa292077cf.FPKM.txt.gz
28da11ec-f46a-4abc-b4c8-bbb784419c71	afe67ba6-d59f-4450-8fbd-624da67d47e5.FPKM.txt.gz
2b82e941-1b16-444e-af41-24dbc0a7e8b5	c6045584-592e-412f-974a-c8ae2d4bb817.FPKM.txt.gz
2c5fa2d4-8e35-42e4-8bca-9fb3371a19c8	c3b82e75-c8c5-4dbb-b227-9b54db04b754.FPKM.txt.gz
2f4a127f-101a-4192-b3e8-f9be2c8648bc	4612a611-2ff9-4f51-b4b2-af142254dbe8.FPKM.txt.gz
2f61ea6b-a3f2-477f-ab98-47ed07b3b2cd	820e3299-bd67-4ba8-a637-32d31205e120.FPKM.txt.gz
30011f30-2926-47f2-a8f3-4f1b58ffa227	1ede5c59-96ae-486b-ae1f-5f7c7909cf6a.FPKM.txt.gz
30256f61-7be9-4d47-8afd-afafa7a079c0	42959bfe-1a62-465f-aafc-684d973b43f7.FPKM.txt.gz
314d9188-c8fd-43fc-905d-b6889de542c8	b0717300-0735-4451-bba1-7ce0fc0d4ac6.FPKM.txt.gz
34f216fb-09dc-48af-9e09-7d12cc07c1f7	04be0c6b-c75f-40cf-82c0-c14af4f9e456.FPKM.txt.gz
